Name	Sex	Age	Rank	Zoo
Hortense	F	35	High	Apen
Jill	F	28	High	Apen
Zuani	F	23	High	Apen
Bolombo	M	16	Low	Apen
Zamba	M	15	Mid	Apen
Kumbuka	F	14	Mid	Apen
Besede	F	8	Low	Apen
Yahimba	F	4	TooYoung	Apen
Makasi	M	4	TooYoung	Apen
Monyama	F	3	TooYoung	Apen
Lina	F	28	High	Planck
Vifijo	M	19	Low	Planck
Djanoa	F	18	Mid	Planck
Louisoko	M	15	Mid	Planck
Lucuma	M	11	Mid	Planck
Busira	F	9	Low	Planck
Habari	M	7	Low	Planck
Lingoye	F	8	Mid	Planck
Nayoki	F	2	TooYoung	Planck
Daniela	F	45	High	VDS
Lisala	F	33	Mid	VDS
Ukela	F	28	High	VDS
Bondo	M	22	Low	VDS
Kirembo	M	21	Low	VDS
Ulindi	F	20	Mid	VDS
David	M	12	Mid	VDS
Diwani	M	17	Mid	VDS
Khaya	F	12	Mid	VDS
Lucy	F	10	Low	VDS
Lingala	F	10	Mid	VDS
Kelele*	M	9	Low	VDS
Luebo	M	6	TooYoung	VDS
Nakala	F	5	TooYoung	VDS
Loto	M	4	TooYoung	VDS
Khalessi	F	1	TooYoung	VDS
Moko	M	1	TooYoung	VDS
